epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,28312.5,0.43392,0.57012,0.99314,0.86436,0.8605,0.92694,0.84181,0.2519,0.29537,0.34425,0.000720295,0.000720295,0.000720295
43,29037.8,0.43324,0.57866,1.00306,0.94277,0.88813,0.94394,0.8678,0.25125,0.30129,0.34658,0.000717546,0.000717546,0.000717546
44,29709.2,0.40816,0.54559,0.97988,0.91824,0.89056,0.93421,0.84893,0.26751,0.39576,0.36376,0.000714797,0.000714797,0.000714797
45,30443.1,0.42128,0.56628,0.99314,0.92797,0.89174,0.93729,0.86689,0.26183,0.31203,0.34389,0.000712048,0.000712048,0.000712048
46,31192.8,0.40748,0.54898,0.98068,0.94611,0.89666,0.9338,0.85454,0.25259,0.29281,0.33706,0.000709299,0.000709299,0.000709299
47,31917.7,0.41626,0.56526,0.98702,0.93496,0.91167,0.93831,0.86794,0.24401,0.33419,0.33125,0.000706551,0.000706551,0.000706551
48,32612.7,0.42153,0.57063,0.9904,0.94202,0.89119,0.94201,0.86447,0.23283,0.30984,0.31935,0.000703802,0.000703802,0.000703802
49,33363.1,0.40937,0.55821,0.98387,0.93815,0.8901,0.93769,0.86817,0.21615,0.26618,0.30987,0.000701053,0.000701053,0.000701053
50,34099.5,0.39946,0.54849,0.98094,0.9433,0.89656,0.94448,0.87211,0.23089,0.28265,0.3157,0.000698304,0.000698304,0.000698304
51,34766.7,0.3928,0.53027,0.96546,0.95985,0.87658,0.94093,0.86235,0.21803,0.2918,0.31366,0.000695555,0.000695555,0.000695555
52,35380,0.40534,0.54805,0.983,0.9422,0.89648,0.94642,0.86197,0.22946,0.27963,0.32173,0.000692806,0.000692806,0.000692806
53,36022.9,0.40799,0.53916,0.97998,0.94036,0.89976,0.94689,0.87252,0.2551,0.29796,0.33443,0.000690057,0.000690057,0.000690057
54,36805,0.37883,0.50976,0.96409,0.92272,0.91828,0.9458,0.8777,0.20932,0.2713,0.31215,0.000687308,0.000687308,0.000687308
55,37620.8,0.3907,0.52022,0.97769,0.95315,0.90221,0.95293,0.8806,0.20352,0.23898,0.30269,0.000684559,0.000684559,0.000684559
56,38401.9,0.37772,0.51399,0.96098,0.96277,0.89937,0.95066,0.87665,0.2231,0.24337,0.31229,0.00068181,0.00068181,0.00068181
57,39123.2,0.38872,0.51954,0.97338,0.9565,0.89036,0.94664,0.86887,0.22917,0.27136,0.317,0.000679062,0.000679062,0.000679062
58,39729.2,0.40604,0.5374,0.985,0.96903,0.89582,0.94986,0.88088,0.21573,0.25635,0.30492,0.000676313,0.000676313,0.000676313
59,40336.8,0.37958,0.50634,0.96684,0.95284,0.88965,0.94846,0.88523,0.22459,0.25133,0.31282,0.000673564,0.000673564,0.000673564
60,41067.6,0.37465,0.49956,0.96711,0.96617,0.89825,0.95432,0.88008,0.22077,0.24004,0.31524,0.000670815,0.000670815,0.000670815
61,41777.7,0.38559,0.51617,0.96425,0.9464,0.90583,0.95105,0.87414,0.21158,0.24504,0.31387,0.000668066,0.000668066,0.000668066
62,42559.4,0.37262,0.49756,0.96937,0.95634,0.90294,0.95495,0.87513,0.26051,0.26048,0.33698,0.000665317,0.000665317,0.000665317
63,44956.9,0.3818,0.50584,0.96778,0.94309,0.90874,0.95154,0.88211,0.22783,0.28397,0.32612,0.000662568,0.000662568,0.000662568
